City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Shubarkuduk,KZ,49.1447,56.4872,36.66,74,100,10.6,overcast clouds
Kurchum,KZ,48.5722,83.6542,27.77,50,100,3.6,overcast clouds
Montepuez,MZ,-13.1256,38.9997,85.86,38,4,6.53,clear sky
Joinville,BR,-26.3044,-48.8456,66.11,88,65,0.65,broken clouds
Yumen,CN,40.2833,97.2,45.1,20,10,5.3,clear sky
Helong,CN,42.5397,128.9972,41.32,76,100,2.01,overcast clouds
Pevek,RU,69.7008,170.3133,-20.99,99,100,4.88,overcast clouds
Boueni,YT,-12.9025,45.0761,84.18,75,1,12.33,clear sky
Kahului,US,20.8947,-156.47,78.84,73,0,12.66,clear sky
Quimper,FR,48.0,-4.1,43.36,100,20,4.61,few clouds
Tuensang,IN,26.2833,94.8333,76.73,24,100,2.35,overcast clouds
Cockburn Town,TC,21.4612,-71.1419,81.34,67,11,18.3,few clouds
Jalu,LY,29.0331,21.5482,68.59,25,0,11.27,clear sky
Kundiawa,PG,-6.0167,144.9667,70.66,91,98,0.92,light rain
Mogzon,RU,51.7435,111.9606,16.84,60,25,14.12,scattered clouds
Broome,US,42.2506,-75.833,28.45,72,75,6.91,broken clouds
Pacific Grove,US,36.6177,-121.9166,58.42,66,0,8.05,clear sky
North Charleston,US,32.8886,-80.0075,42.91,89,0,5.75,clear sky
Balkhash,KZ,46.844,74.9804,32.61,55,0,6.71,clear sky
Cervo,ES,43.6702,-7.4101,51.76,72,69,9.31,broken clouds
Faanui,PF,-16.4833,-151.75,77.56,81,100,7.76,light rain
Alofi,NU,-19.0595,-169.9187,75.09,78,1,5.75,clear sky
Sidi Ali,DZ,36.0998,0.4206,57.24,52,50,14.61,scattered clouds
Tessalit,ML,20.1986,1.0114,69.96,13,100,7.54,overcast clouds
Vesyegonsk,RU,58.664,37.2604,23.56,71,98,8.88,overcast clouds
Taoudenni,ML,22.6783,-3.9836,70.11,13,100,0.74,overcast clouds
Popondetta,PG,-8.7537,148.2534,85.93,62,100,4.74,overcast clouds
Troitskoye,RU,52.9821,84.6757,22.68,83,100,5.99,overcast clouds
Ghanzi,BW,-21.5667,21.7833,88.9,19,6,8.39,clear sky
Saint-Pierre,RE,-21.3393,55.4781,78.48,53,0,6.91,clear sky
Mahibadhoo,MV,3.7833,72.9667,80.76,78,100,16.31,overcast clouds
Victoria,HK,22.2855,114.1577,84.96,74,23,5.99,few clouds
Ramhormoz,IR,31.28,49.6035,70.81,60,100,7.07,overcast clouds
Wenatchee,US,47.4235,-120.3103,27.05,82,0,1.99,clear sky
Shetpe,KZ,44.1667,52.1167,52.59,52,8,2.37,clear sky
Kainantu,PG,-6.2887,145.8655,68.32,87,100,2.01,overcast clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,64.15,83,2,7.16,clear sky
Trat,TH,12.5,102.5,92.82,57,46,9.64,scattered clouds
Luanda,AO,-8.8368,13.2343,77.0,83,75,2.3,broken clouds
San Isidro,PE,-12.1167,-77.05,65.01,83,100,9.22,overcast clouds
Maningrida,AU,-12.0667,134.2667,89.64,57,82,10.94,light rain
Alice Springs,AU,-23.7,133.8833,96.35,24,40,14.97,scattered clouds
Teya,RU,60.3778,92.6267,4.96,91,96,8.12,overcast clouds
Ureki,GE,41.9956,41.7786,62.56,61,85,6.06,overcast clouds
Vinh,VN,18.6667,105.6667,81.63,73,100,12.01,overcast clouds
Baikunthpur,IN,23.25,82.55,73.67,29,20,1.52,few clouds
Rabo De Peixe,PT,37.8,-25.5833,62.11,97,75,6.91,broken clouds
Coos Bay,US,43.3665,-124.2179,43.99,87,0,5.75,clear sky
Potiskum,NG,11.7091,11.0694,71.49,25,2,10.33,clear sky
Bilibino,RU,68.0546,166.4372,-10.25,99,100,4.38,overcast clouds
Laguna,US,38.421,-121.4238,51.78,50,0,8.05,clear sky
Riyadh,SA,24.6877,46.7219,66.34,67,57,7.02,broken clouds
Farmington,US,36.7281,-108.2187,20.08,58,0,3.44,clear sky
Seymchan,RU,62.8833,152.4333,-31.65,90,25,1.07,scattered clouds
Robertsport,LR,6.7533,-11.3686,75.97,85,32,8.37,scattered clouds
Sao Filipe,CV,14.8961,-24.4956,77.56,69,100,15.05,overcast clouds
Port Moresby,PG,-9.4431,147.1797,89.02,66,40,11.5,haze
Toora-Khem,RU,52.4675,96.11,12.02,68,20,2.01,few clouds
Naze,JP,28.3667,129.4833,76.12,84,99,11.3,overcast clouds
Marsh Harbour,BS,26.5412,-77.0636,74.91,70,100,11.18,overcast clouds
Caraquet,CA,47.7941,-64.9386,23.54,80,52,9.53,broken clouds
Scottsbluff,US,41.8666,-103.6672,26.78,46,0,11.5,clear sky
Muros,ES,42.7762,-9.0603,47.08,96,97,3.15,overcast clouds
Karoi,ZW,-16.8099,29.6925,81.5,23,0,7.11,clear sky
Flin Flon,CA,54.7682,-101.865,1.09,95,86,5.73,overcast clouds
Kangaba,ML,11.9333,-8.4167,66.94,31,58,2.08,broken clouds
Urucui,BR,-7.2294,-44.5561,71.96,90,84,0.63,broken clouds
Russell,US,32.3502,-85.1999,41.0,93,0,3.44,clear sky
Satipo,PE,-11.2522,-74.6386,69.84,74,58,2.64,broken clouds
Joshimath,IN,30.5667,79.5667,64.26,25,85,6.53,overcast clouds
Gornopravdinsk,RU,60.05,69.9,2.93,82,5,7.76,clear sky
Banon,ES,40.8382,-1.1909,49.26,46,0,4.61,clear sky
Leua,SK,48.2156,18.6071,35.49,75,30,3.11,scattered clouds
Mehamn,NO,71.0357,27.8492,37.35,44,99,9.22,overcast clouds
Medvezhyegorsk,RU,62.9167,34.4667,26.29,81,100,5.99,overcast clouds
Tezu,IN,27.9167,96.1667,80.76,26,0,3.15,clear sky
Buchanan,LR,5.8808,-10.0467,75.47,87,47,5.5,light rain
Qui Nhon,VN,13.7667,109.2333,75.99,92,100,12.44,overcast clouds
Talnakh,RU,69.4865,88.3972,7.21,95,100,10.38,light snow
Isabela,PH,6.7085,121.9711,80.65,81,98,4.76,overcast clouds
Tabou,CI,4.423,-7.3528,77.41,82,6,2.68,light rain
Hirara,JP,24.8,125.2833,80.46,73,40,10.36,scattered clouds
Guararapes,BR,-21.2608,-50.6428,66.58,55,0,14.45,clear sky
La Ligua,CL,-32.4524,-71.2311,56.7,96,37,2.15,scattered clouds
Zhaotong,CN,27.3167,103.7167,59.25,43,14,3.87,few clouds
Santiago Del Estero,AR,-27.7951,-64.2615,80.17,27,63,12.35,broken clouds
Port Lincoln,AU,-34.7333,135.8667,58.17,73,19,29.1,light rain
Suntar,RU,62.1444,117.6319,0.0,87,98,8.1,overcast clouds
Jiexiu,CN,37.0244,111.9125,57.16,34,0,2.91,clear sky
Fortuna,US,40.5982,-124.1573,40.35,100,0,10.36,clear sky
Sembakung,ID,3.8167,117.25,85.05,68,100,1.74,overcast clouds
Vilhena,BR,-12.7406,-60.1458,70.16,90,94,3.15,overcast clouds
Turukhansk,RU,65.8167,87.9833,4.95,93,100,15.82,overcast clouds
Sosnovo-Ozerskoye,RU,52.5249,111.5418,15.31,54,8,11.16,clear sky
Gravelbourg,CA,49.8834,-106.5512,17.87,97,93,7.27,overcast clouds
Oksfjord,NO,70.2396,22.3479,28.58,55,13,1.95,few clouds
Baijiantan,CN,45.6333,85.1833,36.21,39,100,2.39,overcast clouds
Cabedelo,BR,-6.9811,-34.8339,74.07,79,17,8.05,few clouds
Villarrica,PY,-25.75,-56.4333,62.26,70,0,4.52,clear sky
Nsoko,SZ,-27.0333,31.95,87.82,53,22,3.53,few clouds
Malanville,BJ,11.8685,3.3899,73.24,34,100,5.5,overcast clouds
Isla Aguada,MX,18.7833,-91.4667,76.86,80,84,13.94,light rain
Sungaipenuh,ID,-2.0833,101.3833,74.28,74,100,4.83,light rain
Manhattan,US,40.7834,-73.9662,35.65,55,0,16.11,clear sky
Nsanje,MW,-16.92,35.262,95.32,41,0,1.45,clear sky
Midyat,TR,37.4247,41.3393,49.28,63,93,5.23,overcast clouds
Progreso,MX,21.2833,-89.6667,73.11,86,10,10.11,clear sky
Solnechnyy,RU,50.7214,136.6319,22.55,91,99,5.55,overcast clouds
Kulhudhuffushi,MV,6.6221,73.07,82.2,73,99,7.4,overcast clouds
Sola,VU,-13.8833,167.55,83.07,79,11,0.0,few clouds
Urucara,BR,-2.5364,-57.76,75.58,76,45,1.07,scattered clouds
Sinop,TR,41.7711,34.8709,48.63,64,100,13.44,overcast clouds
Garden City,US,42.3256,-83.331,25.05,68,75,20.71,broken clouds
Sabha,LY,27.0377,14.4283,64.94,21,9,9.19,clear sky
Nuuk,GL,64.1835,-51.7216,20.07,84,100,1.74,overcast clouds
Pangnirtung,CA,66.1451,-65.7125,1.24,67,49,5.97,scattered clouds
Srednekolymsk,RU,67.45,153.6833,-7.69,97,100,13.29,overcast clouds
Coihaique,CL,-45.5752,-72.0662,48.15,53,0,3.44,clear sky
Zenzeli,RU,45.9241,47.0474,50.52,74,100,4.27,overcast clouds
Traverse City,US,44.7631,-85.6206,25.0,83,100,12.66,overcast clouds
Anau,PF,-16.5167,-151.7333,77.43,81,98,7.31,light rain
Beitbridge,ZW,-22.2167,30.0,91.62,22,0,6.67,clear sky
Molina,CL,-35.1167,-71.2833,60.53,72,100,4.61,overcast clouds
Vestmanna,FO,62.1564,-7.1664,47.32,81,100,32.21,overcast clouds
Kavaratti,IN,10.5669,72.642,81.97,55,32,6.82,scattered clouds
Strezhevoy,RU,60.7333,77.5889,5.0,93,100,9.06,light snow
Wanning,CN,18.8003,110.3967,80.51,78,88,12.73,overcast clouds
Rio Grande,BR,-32.035,-52.0986,67.28,82,5,16.04,clear sky
Toktogul,KG,41.8708,72.9402,41.14,91,100,1.32,overcast clouds
Tiarei,PF,-17.5333,-149.3333,73.42,85,100,12.5,moderate rain
Moose Factory,CA,51.2585,-80.6094,19.4,86,100,8.05,overcast clouds
The Pas,CA,53.8251,-101.2541,8.62,72,100,8.05,overcast clouds
Krasnorechenskiy,RU,44.6265,135.3532,30.0,88,100,3.58,overcast clouds
Numaligarh,IN,26.6333,93.75,75.83,50,1,4.05,clear sky
Guiratinga,BR,-16.3494,-53.7583,72.32,64,0,2.68,clear sky
Marystown,CA,47.1666,-55.1483,36.72,63,45,18.3,scattered clouds
Cerro Largo,BR,-28.1486,-54.7381,65.73,62,4,6.89,clear sky
Morondava,MG,-20.2833,44.2833,83.32,55,0,6.33,clear sky
Manado,ID,1.487,124.8455,81.37,89,40,5.75,light rain
Port Hueneme,US,34.1478,-119.1951,65.7,29,0,12.66,clear sky
Nhulunbuy,AU,-12.2333,136.7667,88.41,62,100,6.91,overcast clouds
Kamaishi,JP,39.2667,141.8833,50.54,60,45,3.83,scattered clouds
Adelaide,AU,-34.9333,138.6,65.48,79,75,19.57,broken clouds
Lazaro Cardenas,MX,17.9583,-102.2,74.88,86,92,3.87,overcast clouds
Dengzhou,CN,37.8086,120.7508,56.89,76,100,4.56,overcast clouds
Hofn,IS,64.2539,-15.2082,43.45,80,7,6.08,clear sky
De-Kastri,RU,51.4667,140.7833,22.68,89,18,1.63,few clouds
Caravelas,BR,-17.7125,-39.2481,72.81,85,100,10.89,moderate rain
Laibin,CN,23.7,109.2667,75.56,60,66,12.44,broken clouds
Port Keats,AU,-14.25,129.55,88.74,59,100,9.19,overcast clouds
Barreiras,BR,-12.1528,-44.99,69.39,94,100,1.86,overcast clouds
Nadym,RU,65.5333,72.5167,-1.08,93,100,18.43,overcast clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,76,100,13.8,overcast clouds
Youkounkoun,GN,12.5333,-13.1333,69.89,23,99,4.09,overcast clouds
Damphu,BT,27.0721,90.1096,73.74,40,13,6.33,few clouds
Mendi,PG,-6.1761,143.6513,63.19,94,100,2.33,light rain
Monrovia,LR,6.3005,-10.7969,75.69,85,69,6.93,broken clouds
Saint-Leu,RE,-21.15,55.2833,77.86,62,5,3.65,clear sky
Itoman,JP,26.1247,127.6694,80.98,73,20,10.36,few clouds
Saint-Paul,RE,-21.0096,55.2707,78.91,64,11,5.41,few clouds
Port Augusta,AU,-32.5,137.7667,77.5,28,9,34.87,clear sky
Cherkessk,RU,44.2233,42.0578,55.38,47,93,4.16,overcast clouds
Toamasina,MG,-18.1667,49.3833,82.4,74,75,10.36,broken clouds
Tema,GH,5.667,-0.0166,79.48,73,2,3.56,clear sky
Yelnya,RU,54.5786,33.1837,21.79,82,100,10.27,overcast clouds
Urumqi,CN,43.801,87.6005,27.55,80,75,6.71,broken clouds
Dhidhdhoo,MV,6.8833,73.1,82.35,72,65,7.94,broken clouds
Peleduy,RU,59.6289,112.7406,1.71,92,83,6.89,broken clouds
Gawler,AU,-34.6,138.7333,65.52,77,100,17.98,overcast clouds
Pictou,CA,45.6834,-62.7153,31.44,86,10,4.61,clear sky
Roald,NO,62.5833,6.1333,41.32,70,0,9.22,clear sky
Lambarene,GA,-0.7001,10.2406,76.6,90,77,1.23,broken clouds
Bull Savanna,JM,17.8868,-77.5902,73.89,86,100,8.41,overcast clouds
Biltine,TD,14.5333,20.9167,77.23,18,0,12.26,clear sky
Bambanglipuro,ID,-7.95,110.2833,82.09,75,100,5.03,overcast clouds
Toledo,ES,39.8333,-4.0,39.49,85,7,8.75,clear sky
Nipawin,CA,53.3668,-104.0009,12.24,67,20,9.22,few clouds
Pallasovka,RU,50.05,46.8833,34.54,69,100,7.83,overcast clouds
Vanavara,RU,60.34,102.2797,5.74,91,100,8.79,overcast clouds
Darhan,MN,49.4867,105.9228,19.9,60,5,6.69,clear sky
Goderich,CA,43.7501,-81.7165,32.92,59,100,21.85,overcast clouds
Jinji,CN,23.2281,110.8261,87.01,46,29,5.46,scattered clouds
Ishigaki,JP,24.3448,124.1572,78.93,83,75,10.36,broken clouds
Eureka,US,40.8021,-124.1637,40.62,99,3,6.08,clear sky
Bonthe,SL,7.5264,-12.505,72.91,73,22,3.74,few clouds
Kieta,PG,-6.2167,155.6333,81.19,81,99,2.33,light rain
Kutum,SD,14.2,24.6667,66.06,23,4,10.25,clear sky
Batemans Bay,AU,-35.7167,150.1833,67.1,67,45,11.83,scattered clouds
La Asuncion,VE,11.0333,-63.8628,76.73,100,37,6.91,light rain
Ballarat,AU,-37.5662,143.8496,60.58,82,1,8.01,clear sky
Preetz,DE,54.2333,10.2833,39.22,65,75,9.22,broken clouds
San Quintin,MX,30.4833,-115.95,57.49,72,0,1.63,clear sky
Florianopolis,BR,-27.6146,-48.5012,62.62,85,20,2.3,few clouds
Aden,YE,12.7794,45.0367,80.58,69,9,11.07,clear sky
Camana,PE,-16.6228,-72.7111,63.34,85,53,5.37,broken clouds
Kushima,JP,31.4583,131.2333,62.02,89,100,10.98,overcast clouds
Yangjiang,CN,21.85,111.9667,79.88,69,100,8.34,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,48.92,71,75,2.3,broken clouds
Amapa,BR,1.0,-52.0,70.75,96,100,1.39,overcast clouds
Charyshskoye,RU,51.3978,83.5598,24.96,63,100,1.34,overcast clouds
Chimbote,PE,-9.0853,-78.5783,62.01,91,100,5.86,overcast clouds
Aykhal,RU,66.0,111.5,-1.7,93,100,17.81,overcast clouds
Haines Junction,CA,60.7522,-137.5108,3.15,85,26,1.14,scattered clouds
Oksovskiy,RU,62.6062,39.8984,19.81,94,20,3.4,few clouds
Neuquen,AR,-38.9516,-68.0591,64.29,42,0,4.61,clear sky
Wuning,CN,29.2589,120.2311,64.6,95,100,2.64,overcast clouds
Paris,FR,48.8534,2.3488,44.15,95,75,4.61,broken clouds
Sobolevo,RU,54.4299,31.8996,22.41,79,100,11.83,light snow
Owo,NG,7.1962,5.5868,75.15,80,12,1.57,few clouds
Ust-Tsilma,RU,65.441,52.1498,14.76,95,100,5.32,overcast clouds
Macia,MZ,-25.0269,33.0989,93.52,27,5,14.29,clear sky
Zelenogorskiy,RU,55.0333,87.0,19.24,83,100,8.55,overcast clouds
Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,74.03,42,0,4.27,clear sky
Korla,CN,41.7597,86.1469,44.02,31,100,1.7,overcast clouds
Cabaiguan,CU,22.0789,-79.4992,70.18,97,100,4.56,moderate rain
Faya,SA,18.3851,42.4509,64.92,36,0,3.53,clear sky
Kamenka,RU,51.3223,42.7678,27.97,75,100,4.12,overcast clouds
Oussouye,SN,12.485,-16.5469,73.49,28,50,6.62,scattered clouds
Santa Cruz,BO,-17.8,-63.1667,74.66,78,85,5.75,overcast clouds
Den Helder,NL,52.9599,4.7593,33.98,72,100,21.0,overcast clouds
Akdepe,TM,42.0551,59.3788,50.09,54,9,5.95,clear sky
Dwarka,IN,22.2394,68.9678,83.34,35,0,6.69,clear sky
Tiznit,MA,29.5833,-9.5,56.26,91,80,1.1,broken clouds
Juneau,US,58.3019,-134.4197,36.79,51,100,4.0,overcast clouds
Ginir,ET,7.1333,40.7,68.56,46,5,6.85,clear sky
Garut,ID,-7.2024,107.8878,80.8,63,100,1.14,overcast clouds
Kamakwie,SL,9.5,-12.2333,65.57,60,100,2.37,overcast clouds
Simbahan,PH,6.3032,120.5836,82.36,78,78,11.45,broken clouds
Urbano Santos,BR,-3.2078,-43.4036,73.71,94,100,4.23,overcast clouds
San Jeronimo,PE,-11.9472,-75.2829,46.62,80,100,1.48,overcast clouds
Shelburne,CA,44.0787,-80.2041,25.56,91,99,18.52,light snow
Vulcan,RO,45.3833,23.2667,42.08,90,100,5.1,overcast clouds
Nicoya,CR,10.1483,-85.452,73.4,93,31,1.72,scattered clouds
El Sauzal,MX,31.9,-116.6833,56.05,53,0,1.23,clear sky
Bud,US,39.447,-86.1758,26.62,72,0,6.53,clear sky
Cabanas,CU,22.9758,-82.9219,74.44,87,67,11.74,broken clouds
Grand-Lahou,CI,5.1367,-5.0242,78.57,79,5,4.65,clear sky
Cuorgne,IT,45.3895,7.6499,47.21,65,19,7.02,few clouds
Sechura,PE,-5.5569,-80.8222,63.14,84,71,8.05,broken clouds
Sao Teotonio,PT,37.5128,-8.7071,52.86,81,99,4.18,overcast clouds
Baoshan,CN,46.5586,131.4244,33.28,65,100,7.52,overcast clouds
Wairoa,NZ,-39.0333,177.3667,69.55,67,2,1.99,clear sky
Kavieng,PG,-2.5744,150.7967,83.3,69,100,8.43,overcast clouds
Hanzhong,CN,33.0728,107.0303,62.08,58,8,2.33,clear sky
Udachnyy,RU,66.4167,112.4,0.57,88,100,13.06,overcast clouds
Keetmanshoop,NA,-26.5833,18.1333,66.65,24,100,11.86,overcast clouds
Chicama,PE,-7.8447,-79.1469,59.54,86,66,3.85,broken clouds
Uch,FR,45.3192,-0.9345,47.37,85,99,5.26,overcast clouds
Mount Isa,AU,-20.7333,139.5,103.77,15,75,13.8,broken clouds
Broken Hill,AU,-31.95,141.4333,89.2,22,0,34.23,clear sky
Tucumcari,US,35.1717,-103.725,24.94,58,100,3.44,overcast clouds
Miranda,CO,3.2499,-76.2281,68.13,85,100,3.6,overcast clouds
Masterton,NZ,-40.9597,175.6575,58.96,88,19,3.33,few clouds
Dolores,AR,-36.3132,-57.6792,63.81,86,80,8.81,broken clouds
Vychegodskiy,RU,61.247,46.8984,16.77,88,13,3.87,few clouds
Marawi,PH,7.9986,124.2928,72.25,93,100,0.72,moderate rain
Teahupoo,PF,-17.8333,-149.2667,67.96,87,100,10.67,light rain
Ligayan,PH,4.6533,119.4706,82.13,80,98,11.41,light rain
Peterhead,GB,57.5058,-1.7981,46.8,76,100,28.61,overcast clouds
Lorengau,PG,-2.0226,147.2712,83.39,73,99,4.32,overcast clouds
Kupang,ID,-10.1667,123.5833,79.38,94,100,6.91,heavy intensity rain
Tabory,RU,58.5198,64.5495,15.21,86,100,8.88,overcast clouds
Kirpilskaya,RU,45.377,39.6931,58.01,58,92,11.23,overcast clouds
Le Port,RE,-20.9373,55.2919,78.8,62,8,4.23,clear sky
Ambatondrazaka,MG,-17.8333,48.4167,84.94,48,34,0.81,scattered clouds
Zhigansk,RU,66.7697,123.3711,-11.79,97,100,20.6,overcast clouds
Lillooet,CA,50.6856,-121.942,21.11,89,69,0.45,broken clouds
Camocim,BR,-2.9022,-40.8411,77.4,80,93,10.45,overcast clouds
Lavrentiya,RU,65.5833,-171.0,21.22,90,72,2.19,broken clouds
Karratha,AU,-20.7377,116.8463,85.21,29,79,15.28,broken clouds
Chhindwara,IN,22.0667,78.9333,73.67,23,75,7.74,broken clouds
Port Hardy,CA,50.6996,-127.4199,24.98,100,20,3.44,few clouds
Akyab,MM,20.15,92.9,84.58,58,50,6.13,scattered clouds
Borogontsy,RU,62.6683,131.1683,-6.75,98,100,2.86,overcast clouds
Riviere-Au-Renard,CA,48.9957,-64.3971,17.89,85,99,10.16,overcast clouds
Krasnoselkup,RU,65.7,82.4667,-7.04,98,91,5.93,overcast clouds
Kharan,PK,28.5833,65.4167,77.09,18,99,1.39,overcast clouds
Coahuayana,MX,18.7333,-103.6833,72.91,86,100,3.69,overcast clouds
Fereydun Kenar,IR,36.6864,52.5225,66.65,56,0,3.04,clear sky
Bam,IR,29.106,58.357,70.7,35,100,6.31,overcast clouds
Scarborough,GB,54.2797,-0.4044,48.65,91,100,10.0,overcast clouds
Acari,PE,-15.4311,-74.6158,65.86,76,61,2.46,broken clouds
Artigas,UY,-30.4,-56.4667,65.89,57,93,9.53,overcast clouds
Mutum,BR,-19.8,-41.4383,61.0,85,0,3.53,clear sky
Magadi,IN,12.9667,77.2333,77.16,41,92,7.34,overcast clouds
Namyslow,PL,51.0759,17.7228,24.33,81,8,1.79,clear sky
Forest,US,37.3638,-79.2897,35.96,77,100,2.46,overcast clouds
Bolobo,CD,-2.1667,16.2333,75.9,78,80,3.67,broken clouds
San Andres,CO,12.5847,-81.7006,77.02,88,40,14.97,heavy intensity rain
Velsk,RU,61.0701,42.0983,16.05,93,64,4.27,broken clouds
Quattro Castella,IT,44.635,10.4743,45.25,76,100,2.24,overcast clouds
Pathein,MM,16.7833,94.7333,86.36,53,12,7.85,few clouds
Erzin,TR,36.9559,36.2,65.32,61,8,0.38,clear sky
Santa Rosa,PH,14.3122,121.1114,78.78,95,100,7.56,light rain
Xam Nua,LA,20.4197,104.0439,76.98,65,100,2.86,overcast clouds
Mercedes,AR,-34.6515,-59.4307,70.86,58,24,9.15,light rain
Pochutla,MX,15.7432,-96.4661,74.82,88,7,3.76,clear sky
Salamiyah,SY,35.0113,37.0532,62.78,54,0,0.96,clear sky
Baykit,RU,61.67,96.37,3.67,92,100,4.72,overcast clouds
Burnie,AU,-41.0667,145.9167,57.94,94,100,17.07,light rain
Paamiut,GL,61.994,-49.6678,28.31,79,100,8.79,overcast clouds
Chute-Aux-Outardes,CA,49.1168,-68.399,15.78,86,0,4.61,clear sky
Huanren,CN,41.2647,125.3667,49.28,66,99,5.14,overcast clouds
Palasa,IN,18.7667,84.4167,81.52,41,9,10.38,clear sky
Zakamensk,RU,50.3741,103.2863,16.38,60,39,1.5,scattered clouds
Union City,US,37.5958,-122.0192,58.35,42,0,1.99,clear sky
Twin Falls,US,42.3505,-114.6445,12.94,58,0,3.98,clear sky
Katsuura,JP,35.1333,140.3,60.06,62,2,13.38,clear sky
Brae,GB,60.3964,-1.353,46.8,63,100,26.42,overcast clouds
Anloga,GH,5.7947,0.8973,80.67,74,35,4.68,scattered clouds
Vanimo,PG,-2.6741,141.3028,83.07,75,100,5.99,overcast clouds
Kisangani,CD,0.5167,25.2,70.95,96,99,2.73,overcast clouds
Emerald,AU,-23.5333,148.1667,92.34,37,91,6.49,overcast clouds
Plouzane,FR,48.3833,-4.6167,43.12,94,0,4.61,clear sky
Takoradi,GH,4.8845,-1.7554,78.04,81,3,2.68,clear sky
San Patricio,US,28.017,-97.5169,53.83,77,100,18.48,overcast clouds
Shimanovsk,RU,52.0,127.7,25.07,84,100,13.67,overcast clouds
Ninh Binh,VN,20.2539,105.975,83.59,62,100,11.68,overcast clouds
San Luis,AR,-33.295,-66.3356,64.47,77,4,10.33,clear sky
Rzhev,RU,56.2624,34.3282,19.85,96,93,5.77,overcast clouds
Grootfontein,NA,-19.5667,18.1167,81.77,24,0,13.31,clear sky
Asosa,ET,10.0667,34.5333,75.43,41,6,5.66,clear sky
Carutapera,BR,-1.195,-46.02,78.13,83,83,8.23,broken clouds
Abu Kamal,SY,34.4506,40.9171,66.88,40,5,5.61,clear sky
Bara,NG,10.3744,10.7288,74.3,27,5,6.87,clear sky
Karangasem,ID,-8.45,115.6167,83.05,73,100,5.44,moderate rain
Murray,US,40.6669,-111.888,29.28,72,0,8.01,clear sky
Auki,SB,-8.7676,160.7034,81.82,76,100,2.75,overcast clouds
Tautira,PF,-17.7333,-149.15,73.4,87,100,12.68,light rain
Calama,CL,-22.4667,-68.9333,46.89,46,0,16.11,clear sky
Warmbad,NA,-28.45,18.7333,62.74,39,96,10.71,overcast clouds
Davila,PH,18.4726,120.5763,93.18,74,86,21.32,overcast clouds
Rabat,MA,33.9911,-6.8401,57.04,100,75,0.0,broken clouds
Nizhniy Odes,RU,63.6445,54.856,5.2,100,100,4.45,overcast clouds
Saint Pete Beach,US,27.7253,-82.7412,57.99,66,96,1.01,overcast clouds
Byron Bay,AU,-28.65,153.6167,79.72,70,53,18.3,broken clouds
Sunrise Manor,US,36.2111,-115.0731,50.72,28,0,8.99,clear sky
Mancio Lima,BR,-7.6142,-72.8958,71.35,97,100,2.37,overcast clouds
Dolinsk,RU,47.35,142.8,31.95,84,39,2.59,scattered clouds
Kasongo-Lunda,CD,-6.4667,16.8167,76.46,75,98,1.12,overcast clouds
Boysun,UZ,38.2061,67.1986,48.96,76,89,3.96,overcast clouds
